

 FILENAME = r15482m.bp             
SAMPLE = mb      VERSION =             
DATE OF SPECTRUM= 
              
NOTE:        
NOTE:        

        LOW LAMBDA (nm)     HIGH LAMBDA (nm)    # OF POINTS         DELTA X
         160.0               260.0                 501                 0.0

        CONC (mg/ml)        PATHLENGTH (cm)     SCALE (Deg)         MEAN RES MW
        0.000E+00             0.000                0.000               0.000

        TIME CONST (s)      SCAN SPEED(nm/min)  DETECTOR POSITION   # SCANS
           0.00                0.00   0.00           08

               DATAPOINTS

  LAMBDA         Y DATA          ST. DEV.           O.D.
   254.800           -158.123      0.000          0.000       
   255.000           -158.123      0.000          0.000       
   255.200           -158.123      0.000          0.000       
   255.400           -158.123      0.000          0.000       
   255.600           -158.123      0.000          0.000       
   255.800           -158.123      0.000          0.000       
   256.000           -158.123      0.000          0.000       
   256.200           -158.123      0.000          0.000       
   256.400           -316.246      0.000          0.000       
   256.600           -316.246      0.000          0.000       
   256.800           -316.246      0.000          0.000       
   257.000           -316.246      0.000          0.000       
   257.200           -316.246      0.000          0.000       
   257.400           -316.246      0.000          0.000       
   257.600           -316.246      0.000          0.000       
   257.800           -316.246      0.000          0.000       
   258.000           -316.246      0.000          0.000       
   258.200           -316.246      0.000          0.000       
   258.400           -316.246      0.000          0.000       
   258.600           -316.246      0.000          0.000       
   258.800           -316.246      0.000          0.000       
   259.000           -316.246      0.000          0.000       
   259.200           -158.123      0.000          0.000       
   259.400           -158.123      0.000          0.000       
   259.600              0.000      0.000          0.000       
   259.800              0.000      0.000          0.000       
   260.000              0.000      0.000          0.000       
