TITLE	WT-TTR. Gdn Unfold. 990710
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	100/01/11
TIME	15:35:13
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.5
XUNITS	
YUNITS	
1.00000
1.00000
FIRSTX	430.0000
LASTX	200.0000
NPOINTS	461
FIRSTY	461
MAXY	-0.00034
MINY	-0.01373
358.5000	-7.58517E-04
358.0000	-7.48764E-04
357.5000	-7.41626E-04
357.0000	-7.40672E-04
356.5000	-7.42692E-04
356.0000	-7.39789E-04
355.5000	-7.37071E-04
355.0000	-7.32382E-04
354.5000	-7.24862E-04
354.0000	-7.2998E-04
353.5000	-7.294E-04
353.0000	-7.28223E-04
352.5000	-7.3047E-04
352.0000	-7.23396E-04
351.5000	-7.17854E-04
351.0000	-7.06877E-04
350.5000	-6.99876E-04
350.0000	-6.89813E-04
349.5000	-6.86403E-04
349.0000	-6.85979E-04
348.5000	-6.78839E-04
348.0000	-6.762E-04
347.5000	-6.73114E-04
347.0000	-6.69932E-04
346.5000	-6.60506E-04
346.0000	-6.57143E-04
345.5000	-6.49935E-04
345.0000	-6.36768E-04
344.5000	-6.26397E-04
344.0000	-6.20547E-04
343.5000	-6.12253E-04
343.0000	-6.02739E-04
342.5000	-6.01728E-04
342.0000	-5.83075E-04
341.5000	-5.67065E-04
341.0000	-5.63897E-04
340.5000	-5.52975E-04
340.0000	-5.57672E-04
339.5000	-5.58382E-04
339.0000	-5.56608E-04
338.5000	-5.63777E-04
338.0000	-5.54483E-04
337.5000	-5.48223E-04
337.0000	-5.42717E-04
336.5000	-5.35981E-04
336.0000	-5.25901E-04
335.5000	-5.29522E-04
335.0000	-5.30729E-04
334.5000	-5.35804E-04
334.0000	-5.33117E-04
333.5000	-5.25363E-04
333.0000	-5.19623E-04
332.5000	-5.09451E-04
332.0000	-5.14181E-04
331.5000	-5.16561E-04
331.0000	-5.20551E-04
330.5000	-5.25467E-04
330.0000	-5.27457E-04
329.5000	-5.21597E-04
329.0000	-5.06672E-04
328.5000	-4.96553E-04
328.0000	-4.83987E-04
327.5000	-4.76377E-04
327.0000	-4.69258E-04
326.5000	-4.6366E-04
326.0000	-4.5619E-04
325.5000	-4.55038E-04
325.0000	-4.62283E-04
324.5000	-4.67657E-04
324.0000	-4.72316E-04
323.5000	-4.7283E-04
323.0000	-4.53748E-04
322.5000	-4.45396E-04
322.0000	-4.36681E-04
321.5000	-4.24355E-04
321.0000	-4.21648E-04
320.5000	-4.15769E-04
320.0000	-4.19737E-04
319.5000	-4.16477E-04
319.0000	-4.10809E-04
